Gun Number = TKE COMBO 2
Device Number = GF220600004
Customer Name = TATA
Line No = line-c9b2402c-73c6-4101-b0b3-c29ccc4605d1
Station Number = GF-5423
Controller Number = GF-2345
Part Name = car
Tip Force KGF at 5bar = 500
Throat Depth mm = 500
Throat Gap mm = 200
Is Device Deactivated = true
Deactivated Reason = NA


"DeviceID","DateTime","HardwareID","Program","PowerFactor","ActualWeldTimeCycles","HeatPertinCurrentIp","ActualCurrent","Error_code","PrimaryCurrent","Line_Voltage"
"GF220600004","18-11-2022 15:25:55","0","P001","0.8","15","---","9.49","E000",,
"GF220600004","18-11-2022 15:39:23","0","P001","0.8","15","---","9.49","E000",,
"GF220600004","18-11-2022 15:45:45","0","P001","0.8","15","---","9.49","E000",,
"GF220600004","18-11-2022 15:50:11","0","P001","0.8","15","---","9.49","E000",,
"GF220600004","18-11-2022 15:56:55","0","P001","0.8","15","---","9.49","E000",,
"GF220600004","18-11-2022 16:41:38","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 16:43:47","0","P001","0","15","---","9.49","E000",,
"GF220600004","18-11-2022 17:09:09","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 12:13:34","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 12:14:02","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 12:14:30","0","P001","0","15","---","9.49 KA","E000",,
"GF220600004","19-11-2022 12:26:44","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 12:36:19","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 12:36:29","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 14:52:24","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 14:52:36","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 14:52:46","0","P001","0","15","---","9.49","E000",,
"GF220600004","19-11-2022 14:53:18","0","P001","0","15","---","'9.49","E000",,
"GF220600004","19-11-2022 14:55:05","0","P001","0","15","---","'9.49","E000",,
"GF220600004","19-11-2022 14:55:27","0","P001","0","15","---","'9.49","E000",,
"GF220600004","19-11-2022 14:55:50","0","P001","0","15","---","'9.49","E000",,
"GF220600004","19-11-2022 14:58:12","0","P001","0","15","---","'9.49","E000",,
"GF220600004","20-11-2022 10:09:08","0","P001","0","15","---","9.49","E000",,
"GF220600004","20-11-2022 10:28:14","0","P001","0","15","---","9.49","E000",,
"GF220600004","20-11-2022 10:49:29","0","P001","0","15","---","9.49","E000",,
"GF220600004","20-11-2022 10:55:29","0","P001","0","15","---","9.49","E000",,
"GF220600004","20-11-2022 12:38:41","0","P001","0","15","---","9.49","E000",,
"GF220600004","20-11-2022 14:18:57","0","P001","0.00","15","---","9.49","E000",,
